"","IDs","tstat","pval","adjp"
"90","201147_s_at","-7.68703532185362","2.0488061038909e-07",2.44754376158943e-06
"282","205206_at","-7.06548286507045","2.02165620779671e-07",2.44754376158943e-06
"911","223343_at","-7.42487462841187","2.03895968675146e-07",2.44754376158943e-06
"1019","226769_at","-7.73586042711485","2.06439251146207e-07",2.44754376158943e-06
"1031","226997_at","-7.66144690022791","1.99403297766068e-07",2.44754376158943e-06
"1243","231841_s_at","-8.71006232648671","2.04109136514885e-07",2.44754376158943e-06
"775","218469_at","-6.90733900988725","2.12980619299612e-07",2.50505776033353e-06
"894","222379_at","-9.47171144394503","2.21842307718744e-07",2.58874251999353e-06
"878","221748_s_at","-7.75676034210305","2.3102338870826e-07",2.65612239354385e-06
"968","225442_at","-8.61063499540587","2.31200937089849e-07",2.65612239354385e-06
"623","212950_at","-7.02129998408435","2.35407254411962e-07",2.68364270029637e-06
"364","205941_s_at","-8.21660887600253","2.43720589524535e-07",2.75720544790352e-06
"637","213316_at","-8.86017306630593","2.47721592906656e-07",2.78123788399746e-06
"314","205499_at","-6.58218003479952","2.50350183553014e-07",2.7896163310193e-06
"567","210511_s_at","-7.79077992531341","2.58460002296769e-07",2.85849047316277e-06
"751","216598_s_at","-7.89861645901051","2.72101218372571e-07",2.98706670835667e-06
"196","204320_at","-7.72970145666577","2.7945267950105e-07",3.02436287194496e-06
"430","206710_s_at","-6.44031293348757","2.79580103546869e-07",3.02436287194496e-06
"795","219386_s_at","-8.01854257685656","2.83830071154625e-07",3.04808815544315e-06
"993","226152_at","-7.89101831223229","2.87537061472784e-07",3.06568291440767e-06
"110","202291_s_at","-7.84605254324321","2.95971407813183e-07",3.13306875985098e-06
"683","214142_at","6.76884485118216","3.03690443555496e-07",3.19198040673223e-06
"265","205003_at","-6.79146920002308","3.23312976225144e-07",3.37429458285678e-06
"516","209687_at","-7.45910182275389","3.31747418803025e-07",3.4142338518478e-06
"1219","230746_s_at","-6.36598510714614","3.30527470880755e-07",3.4142338518478e-06
"1002","226425_at","-8.98715872505364","3.34615188210923e-07",3.41999799261095e-06
"491","209209_s_at","-8.21918906043238","3.51714389339652e-07",3.57014195206414e-06
"117","202437_s_at","-8.97890141832535","3.5651398980807e-07",3.57844896136075e-06
"339","205729_at","-9.1791183530959","3.57361974548847e-07",3.57844896136075e-06
"344","205786_s_at","-8.51971331530001","3.6273430945921e-07",3.60786742697013e-06
"611","212526_at","-9.25849978738563","3.74389545861566e-07",3.69896871311227e-06
"1126","228640_at","-7.39037511720869","3.97901126080033e-07",3.90522827053383e-06
"505","209524_at","-7.97099595200779","4.16298784882237e-07",4.0521556792313e-06
"847","220272_at","-8.66335176281283","4.21074206883684e-07",4.0521556792313e-06
"1164","229459_at","-8.39634446211149","4.19374102429368e-07",4.0521556792313e-06
"381","206101_at","-8.64463205007331","4.2566684941605e-07",4.06992432796507e-06
"981","225946_at","-8.40856050247459","4.34965122610708e-07",4.10584911916605e-06
"1386","238623_at","-8.01182679922952","4.33428534014542e-07",4.10584911916605e-06
"888","222088_s_at","-7.3760767213086","4.61065115898066e-07",4.32467406177806e-06
"988","226084_at","-7.16857546668079","4.72193978056467e-07",4.4012042482999e-06
"1463","243864_at","-8.81568217257628","4.77064529299215e-07",4.41881020263398e-06
"604","212233_at","-7.72896158995487","4.8354425871787e-07",4.42353451493755e-06
"1101","228141_at","-6.42175960861485","4.83025488326851e-07",4.42353451493755e-06
"632","213135_at","-6.39844301357883","5.494657801536e-07",4.93520173447052e-06
"685","214156_at","6.1967745325654","5.48470055991392e-07",4.93520173447052e-06
"1313","235371_at","-6.78998699374821","5.44823225047818e-07",4.93520173447052e-06
"242","204787_at","-7.7586831636012","5.57549963395581e-07",4.94783859731887e-06
"862","220979_s_at","-8.60217138543769","5.57028743886243e-07",4.94783859731887e-06
"341","205776_at","6.20350845624711","5.62743711086151e-07",4.96420345136712e-06
"863","221019_s_at","-8.86151285854579","5.93334684179178e-07",5.20308876895587e-06
"1169","229554_at","-7.80162690570238","5.99666079050636e-07",5.22767723031201e-06
"951","224396_s_at","-7.95946326237938","6.14066236758976e-07",5.32190738524446e-06
"771","217967_s_at","-7.57357766831172","6.41041443407661e-07",5.45990470764456e-06
"978","225790_at","-8.50622125601623","6.39541941072213e-07",5.45990470764456e-06
"1421","241473_at","-7.58804011297947","6.3415935209836e-07",5.45990470764456e-06
"1161","229357_at","-7.35815649186746","6.52434907974085e-07",5.52519162067197e-06
"1383","238478_at","-8.65751927043838","6.63270997686512e-07",5.58504328733756e-06
"479","208131_s_at","-8.03184035579248","7.0474791152613e-07",5.90077064904929e-06
"116","202436_s_at","-8.83742861761017","7.56335150204686e-07",6.26194800337064e-06
"175","204030_s_at","-7.40592957027029","7.54194116200002e-07",6.26194800337064e-06
"626","213068_at","-8.0618884188668","7.81659674294043e-07",6.400108493391e-06
"1119","228481_at","-8.08255925586043","7.80163662081722e-07",6.400108493391e-06
"1361","236894_at","6.13154246099178","7.93199187447115e-07",6.45890766921222e-06
"593","211555_s_at","-7.85694310603431","8.26761570153183e-07",6.69541337140447e-06
"822","219935_at","-7.05471214441406","8.50060587283561e-07",6.84668364322955e-06
"231","204688_at","-7.01879468238428","9.31264249127448e-07",7.45481289428526e-06
"1345","236297_at","-7.15537209254601","9.35624290375883e-07",7.45481289428526e-06
"635","213241_at","-6.66330652727699","9.88634571011408e-07",7.8350611456626e-06
"71","1561387_a_at","5.99096699169308","1.00871242081277e-06",7.95165855130067e-06
"129","202952_s_at","-8.27251069490935","1.01893585827009e-06",7.98975101564166e-06
"881","221874_at","6.38545078541825","1.03225248337805e-06",8.05156937034879e-06
"995","226225_at","-7.27740117460466","1.04307662619767e-06",8.09340083782695e-06
"537","209949_at","-7.03359166222472","1.0513181948163e-06",8.11486231623832e-06
"1244","231842_at","-7.93910006177451","1.08896568275789e-06",8.36190228936369e-06
"148","203570_at","-6.73022200348923","1.10473874311768e-06",8.43929287268248e-06
"755","216950_s_at","-7.77837209495886","1.11755401778967e-06",8.45007680798108e-06
"1022","226804_at","-8.43994708144595","1.11426574443982e-06",8.45007680798108e-06
"869","221276_s_at","-7.88458699507606","1.13624992031749e-06",8.5478293497996e-06
"27","1554474_a_at","-7.1824758310131","1.1856307240163e-06",8.86054752259865e-06
"260","204955_at","-7.23367636940052","1.18977662415461e-06",8.86054752259865e-06
"221","204597_x_at","-6.05085682774801","1.21923305938542e-06",9.03451697004596e-06
"1477","32128_at","-7.02121871673733","1.2324584607727e-06",9.08708178539871e-06
"544","210107_at","7.19529139780839","1.24158879277027e-06",9.10908213309673e-06
"450","207074_s_at","6.07641434932171","1.25861975228228e-06",9.18854420139083e-06
"965","225285_at","-6.98612234134711","1.28194927693942e-06",9.31298445305991e-06
"1332","235821_at","-7.95862506551042","1.38098016115495e-06",9.98347609186164e-06
"630","213122_at","-8.19404190041319","1.40515069238775e-06",1.01088996413526e-05
"1385","238617_at","-6.69416555566284","1.42136137796038e-06",1.01761234885859e-05
"194","204298_s_at","-7.37548589507763","1.45402052457169e-06",1.03192653970278e-05
"326","205559_s_at","-6.17426322090763","1.46224408459908e-06",1.03192653970278e-05
"612","212607_at","-7.0390975761867","1.46094544170816e-06",1.03192653970278e-05
"898","222719_s_at","-7.55732552055819","1.48128443941178e-06",1.04040926028827e-05
"131","202988_s_at","-5.88405467654874","1.53663773250681e-06",1.07419675451655e-05
"689","214261_s_at","5.83754997567913","1.56414774481762e-06",1.08829434639423e-05
"427","206664_at","5.84890820272234","1.59927994070005e-06",1.10753872528854e-05
"916","223475_at","-7.34101358469024","1.64353642930548e-06",1.13289348289801e-05
"217","204557_s_at","-8.3416162566689","1.65666925281336e-06",1.13665918179139e-05
"1448","242601_at","6.30803139514967","1.70537997702633e-06",1.16468807647605e-05
"985","226066_at","-7.72904680539078","1.72214837502732e-06",1.17074490449105e-05
"1136","228827_at","-7.5787510261051","1.74176300606365e-06",1.17867249999376e-05
"435","206796_at","-7.65660732526482","2.03619743626822e-06",1.35929936961689e-05
"444","207003_at","5.76836320148722","2.01971501348794e-06",1.35929936961689e-05
"657","213790_at","-7.89158902550272","2.0312177526536e-06",1.35929936961689e-05
"1149","229127_at","-7.52813333426864","2.05379065802079e-06",1.36489585434386e-05
"118","202498_s_at","-7.10518851342642","2.08031051310287e-06",1.37634829482967e-05
"64","1559477_s_at","-7.33116359276962","2.19104086136815e-06",1.43848279242618e-05
"1048","227239_at","-5.91833620845124","2.19363772664182e-06",1.43848279242618e-05
"431","206715_at","-7.84277964788133","2.21585845159338e-06",1.4403079935357e-05
"1013","226676_at","-6.29536711774642","2.2082385405707e-06",1.4403079935357e-05
"261","204959_at","-6.98774185597783","2.25069824703359e-06",1.45023252265382e-05
"1216","230722_at","-7.87353985844083","2.24797573587364e-06",1.45023252265382e-05
"975","225688_s_at","-6.29300550532643","2.28166371483724e-06",1.46382061705142e-05
"811","219773_at","-7.60127240230691","2.52462013203692e-06",1.61270992917186e-05
"1478","37512_at","-7.71227425315939","2.7231933861374e-06",1.73209124388654e-05
"147","203561_at","-6.73224664200792","2.90194512074237e-06",1.83230105427524e-05
"609","212398_at","-5.93237634362609","2.90547063262268e-06",1.83230105427524e-05
"451","207191_s_at","-6.8617676087506","2.92009301012029e-06",1.83371942415181e-05
"197","204337_at","-5.90543083086087","3.01207389392797e-06",1.8834993716461e-05
"1257","232204_at","-7.53530348317197","3.03249906868859e-06",1.8883040419313e-05
"31","1554741_s_at","-6.80009020190702","3.17885471162377e-06",1.97115593415332e-05
"804","219631_at","-5.89896577973266","3.19284905033895e-06",1.9715842885843e-05
"250","204894_s_at","-6.84310468474694","3.23884135153174e-06",1.99168584355603e-05
"1153","229225_at","-7.25163412921915","3.33663467717943e-06",2.0433440461074e-05
"1197","230130_at","-6.08620303225758","3.37837517959381e-06",2.06039177619672e-05
"119","202499_s_at","-6.09646425981681","3.4948222249096e-06",2.12267481037542e-05
"1218","230741_at","-7.25661099850624","3.51235844010696e-06",2.12461845234225e-05
"1071","227646_at","-6.99902666508754","3.74989044188162e-06",2.25908033937746e-05
"239","204749_at","-7.65601489820791","3.79412363700958e-06",2.27647418220575e-05
"989","226103_at","-7.06771253585977","3.81266711655496e-06",2.27837607529615e-05
"962","225045_at","-6.77553339861109","3.83798523432723e-06",2.28429482621404e-05
"1224","230836_at","-6.1137464572548","3.85394366853726e-06",2.28461780670889e-05
"730","215440_s_at","-6.84433615414298","3.88371341446811e-06",2.28863708504966e-05
"1063","227529_s_at","-5.85009169784579","3.89160961830307e-06",2.28863708504966e-05
"702","214761_at","-6.35263487682477","3.99197095650765e-06",2.33837982511634e-05
"142","203382_s_at","-6.97688934300682","4.13564779672154e-06",2.40354119009464e-05
"889","222162_s_at","-6.58840356930461","4.12244175955056e-06",2.40354119009464e-05
"942","223970_at","5.56256401301678","4.20607771041487e-06",2.43492467454486e-05
"531","209897_s_at","-6.21313135406165","4.23764566865161e-06",2.44365403927692e-05
"174","204007_at","-6.9039756660977","4.3398395946679e-06",2.492884604379e-05
"1077","227705_at","-7.19865406180408","4.40480495588369e-06",2.52043279715044e-05
"1014","226677_at","-6.23876518786203","4.43349909979063e-06",2.52709448688066e-05
"139","203240_at","6.94762800094289","4.61427020460534e-06",2.62005687479889e-05
"581","210889_s_at","-6.94898013703485","4.77951863969313e-06",2.70352924581115e-05
"1475","244741_s_at","-7.32145516769285","4.99950661377075e-06",2.81721247209439e-05
"582","210895_s_at","-6.86180031097357","5.21629411630052e-06",2.9282378334687e-05
"1064","227530_at","-5.712525074144","5.2853589998328e-06",2.95581208971781e-05
"1325","235723_at","-7.31340157990941","5.39792596366155e-06",3.00741589404001e-05
"608","212397_at","-5.54388395566089","5.48121835699228e-06",3.04238412174628e-05
"1047","227236_at","-6.14018942400816","5.67055490139705e-06",3.13573222532479e-05
"183","204179_at","5.45831996459431","5.74024752427071e-06",3.13913167194435e-05
"833","220014_at","-6.68996475343583","5.71775267808752e-06",3.13913167194435e-05
"1476","244885_at","-7.06056955906655","5.71973390808672e-06",3.13913167194435e-05
"179","204052_s_at","-7.39494655849458","5.77613255607372e-06",3.14714281180193e-05
"1380","238447_at","-5.88099797209721","5.94733762136274e-06",3.22855470873977e-05
"796","219410_at","-5.64919931695955","5.97786053750711e-06",3.23328077247647e-05
"527","209844_at","5.37487702771378","6.11434411885289e-06",3.29507563059636e-05
"1172","229584_at","-6.97082657772616","6.23212204991972e-06",3.34637857897863e-05
"489","209167_at","-6.91103005300662","6.37286371223007e-06",3.4095971196841e-05
"115","202435_s_at","-7.44765534769912","6.51826514555036e-06",3.4623903031203e-05
"1306","235182_at","-6.71313072404533","6.51475668460995e-06",3.4623903031203e-05
"5","1552508_at","-7.37744789615131","6.90989818568829e-06",3.65731039685359e-05
"600","211776_s_at","-5.46825712037742","7.1045442327431e-06",3.74401888653467e-05
"1003","226435_at","-5.92254230451465","7.12424646425625e-06",3.74401888653467e-05
"598","211668_s_at","-6.17409336105208","7.30469736962241e-06",3.81181743020437e-05
"829","219985_at","-7.08682749191046","7.29984297092653e-06",3.81181743020437e-05
"230","204673_at","6.06409075889298","7.58501036218594e-06",3.94420538833669e-05
"371","205991_s_at","-5.97753298557424","7.64413333602928e-06",3.9610509104879e-05
"1384","238481_at","-7.25430220389716","7.70222403283364e-06",3.97724599883605e-05
"892","222288_at","-5.72584722491418","7.86632213317876e-06",4.0478782643649e-05
"33","1554899_s_at","-6.11050292805655","8.36600199541723e-06",4.27531550248563e-05
"997","226248_s_at","6.05397759879273","8.36174428513498e-06",4.27531550248563e-05
"1137","228850_s_at","-6.13860594945889","8.41048622017517e-06",4.28327854924385e-05
"1069","227623_at","-6.81266570533571","8.65443440082249e-06",4.39242184315717e-05
"495","209283_at","-6.97283151563964","8.68683436520597e-06",4.39381861066049e-05
"476","208063_s_at","5.29392840318936","8.85177254719278e-06",4.46201595746248e-05
"456","207233_s_at","-6.97727343487905","8.92032274640376e-06",4.48132824073572e-05
"622","212865_s_at","-6.39871747199864","8.9792085200061e-06",4.49113684556881e-05
"870","221305_s_at","5.2434850109352","9.00045643140309e-06",4.49113684556881e-05
"791","219228_at","-6.58213459498263","9.21092794360708e-06",4.580736648465e-05
"838","220092_s_at","-7.06360467002522","9.30315218243385e-06",4.61112760346721e-05
"789","219134_at","-5.86213861681641","9.4198291389802e-06",4.65339559465622e-05
"507","209541_at","-5.55122083273376","9.45443001994231e-06",4.65497185699485e-05
"686","214212_x_at","-6.71236570718471","9.55879244120047e-06",4.68413845349265e-05
"818","219892_at","-6.9180279965959","9.60038894094416e-06",4.68413845349265e-05
"826","219955_at","5.23088188007126","9.60848913536953e-06",4.68413845349265e-05
"310","205472_s_at","5.29901406094489","9.69568053513447e-06",4.68975657950439e-05
"465","207426_s_at","-6.43362725788707","9.66061678529493e-06",4.68975657950439e-05
"698","214587_at","-7.3035442590283","9.71494784013392e-06",4.68975657950439e-05
"348","205802_at","-6.82400983993162","9.78637510033385e-06",4.70587393674392e-05
"1233","231202_at","-5.7090716933685","9.81184241871708e-06",4.70587393674392e-05
"1099","228128_x_at","-6.019378073706","1.03999252436032e-05",4.97183522936127e-05
"289","205249_at","-5.9393661532345","1.04572177756142e-05",4.98315007828304e-05
"469","207601_at","5.36755231557371","1.08848626788425e-05",5.17030977245019e-05
"1135","228776_at","-6.11755044145106","1.0934041269327e-05",5.17707640931074e-05
"958","224941_at","-6.14189625353649","1.11709440233024e-05",5.27240096895992e-05
"1061","227506_at","5.33977814064438","1.1466290726971e-05",5.39461678011779e-05
"1337","236037_at","5.19343902325583","1.15567541453042e-05",5.41997140612051e-05
"834","220026_at","5.2912946486705","1.25960377833994e-05",5.88874700157663e-05
"304","205404_at","-5.95346503813494","1.26464930782388e-05",5.89374300061318e-05
"520","209758_s_at","-6.95121294145529","1.27484778779209e-05",5.92264708936639e-05
"674","213994_s_at","-5.12943926171622","1.27951067083499e-05",5.92573379430455e-05
"1","1552309_a_at","-6.49288792625993","1.30398223879394e-05",6.02025444826361e-05
"532","209924_at","-6.35294587550644","1.33491405693789e-05",6.14392121857749e-05
"186","204222_s_at","-5.23057526025868","1.35285915787886e-05",6.20723613615006e-05
"1455","242881_x_at","-6.1519229548432","1.3605982542239e-05",6.22347719987599e-05
"337","205700_at","-6.7491855272644","1.38301849905135e-05",6.28721906623957e-05
"493","209242_at","-6.68161385154951","1.38210287054144e-05",6.28721906623957e-05
"1338","236044_at","-6.61366651091229","1.40591508047283e-05",6.37176192434475e-05
"188","204237_at","-5.1176161447788","1.41665952642838e-05",6.38142680293878e-05
"617","212764_at","-6.11307553681965","1.41482065121362e-05",6.38142680293878e-05
"853","220622_at","5.32163247828731","1.44385505333651e-05",6.48422178498396e-05
"735","215617_at","-6.66674248929623","1.46362460216274e-05",6.55314701028756e-05
"624","212992_at","-5.17156682826109","1.47105983490411e-05",6.56659841966232e-05
"1254","232113_at","-6.60556343969545","1.47598268013062e-05",6.56878778364438e-05
"500","209395_at","-5.09344480145585","1.48466727088092e-05",6.5876553755854e-05
"1317","235489_at","-6.00474534075667","1.49719133084752e-05",6.6233956785553e-05
"319","205525_at","-6.1932394179252","1.53703229250535e-05",6.77941029015752e-05
"141","203305_at","-6.18025563492646","1.5476973414899e-05",6.80619424358466e-05
"173","204006_s_at","-6.1341851193345","1.58157548164755e-05",6.91443677808384e-05
"885","221942_s_at","-6.03768632499704","1.58164242089772e-05",6.91443677808384e-05
"770","217966_s_at","-6.47078207628285","1.60323332459346e-05",6.98821113837502e-05
"627","213071_at","-6.88932666850881","1.64113107552553e-05",7.13242303204937e-05
"1170","229560_at","-5.67074536691441","1.81439281713067e-05",7.8623688742329e-05
"490","209170_s_at","-6.33731492019028","1.87296970877837e-05",8.09253967466339e-05
"327","205568_at","-5.71983449759666","1.92428259616928e-05",8.29007792884556e-05
"1180","229669_at","-6.60287140657045","1.95767506727469e-05",8.40949115855389e-05
"855","220645_at","5.0318747787007","1.96829939894979e-05",8.43069280128205e-05
"21","1554018_at","-6.21367530679198","1.97669401627284e-05",8.44224937209322e-05
"1377","238143_at","5.28925136376087","2.02553676026842e-05",8.6259927549362e-05
"121","202628_s_at","-5.45321281471986","2.06888899390033e-05",8.78536816321e-05
